# Locations and occurence times of CCSN in this MW
# 
# CCSN rate = 1.63/century
# Observational period = 1e5 years
# 
# R [kpc]    z [kpc]       phi [rad]    l [rad]       b [rad]       Rs [kpc]      Birthday [yr]
2.2891295    -0.9110036    2.9526253    +0.0686742    -0.1443679    6.3322649     6.3487694e+03
5.2005165    +0.0561942    3.8231163    -0.6334269    +0.0101522    5.5352555     6.3683040e+03
8.3811974    +0.0014604    2.2366141    +1.1038313    +0.0001978    7.3813285     6.4231967e+03
4.2360322    -0.5387118    3.7308564    -0.4417168    -0.0975140    5.5332216     6.5094838e+03
4.3603042    +1.5862516    2.2346958    +0.5335903    +0.2307527    6.9356366     6.5115639e+03
0.1242951    -0.0198431    1.7981659    +0.0142927    -0.0023420    8.4728706     6.5632008e+03
5.5727601    +0.9803781    2.6407642    +0.6376332    +0.2147473    4.6005417     6.5828788e+03
0.7655563    -0.0262307    2.3421701    +0.0687900    -0.0032849    7.9852436     6.5939794e+03
11.4371147   -0.1436943    0.8128080    +0.4697198    -0.0078306    18.3505345    6.6846785e+03
6.3340907    -0.0716954    5.4220306    -0.3636128    -0.0053066    13.5105787    6.6906647e+03
1.9835363    -0.5859812    0.4404597    +0.0819680    -0.0566715    10.3455070    6.7892991e+03
4.1192708    +0.0269879    5.0570496    -0.3735408    +0.0025402    10.6244933    6.8061679e+03
4.1869277    +0.2026712    1.6352746    +0.4697639    +0.0219542    9.2322913     6.8416201e+03
13.1199604   +0.4798914    0.2285412    +0.1387910    +0.0223320    21.4907771    6.9351325e+03
1.6474205    -0.1510680    1.2220888    +0.1692028    -0.0164293    9.1954364     6.9677615e+03
4.3554507    +0.6848549    1.7316449    +0.5036185    +0.0767255    8.9347978     7.1254907e+03
9.1468720    -0.0712821    4.8447754    -0.7512926    -0.0053663    13.2832957    7.1814296e+03
2.7795824    -0.0613811    3.9081488    -0.2884502    -0.0090558    6.7781562     7.2400830e+03
1.5197739    -0.5369024    5.1370860    -0.1505860    -0.0580996    9.2462765     7.2458088e+03
5.4585747    -0.7006344    2.9167477    +0.3656363    -0.2030018    3.4751903     7.2575123e+03
3.0824975    -1.7691322    1.5274769    +0.3426352    -0.1906596    9.3354675     7.3053173e+03
1.9945398    -0.0320404    5.2141033    -0.1828064    -0.0033308    9.6195723     7.3395417e+03
4.5436868    +2.7371152    4.7083444    -0.4918021    +0.2771439    10.0037230    7.3894935e+03
5.1002610    -0.1883343    1.0383513    +0.3772824    -0.0157879    11.9294969    7.4922422e+03
1.4500750    +3.0672916    2.1075067    +0.1592607    +0.3721509    8.4354319     7.6532113e+03
0.4488055    +0.0755960    1.5237464    +0.0525631    +0.0088591    8.5332283     7.6667067e+03
2.0486404    +0.0410549    3.9275887    -0.2027102    +0.0057023    7.1997926     7.6783635e+03
2.9040179    -0.1091630    0.1888010    +0.0479732    -0.0096045    11.3660136    7.7161307e+03
1.8459706    -0.6001748    2.9151648    +0.0617640    -0.0891552    6.7407228     7.8457113e+03
1.2920831    -1.2596790    1.4894604    +0.1485564    -0.1437782    8.7915231     7.8929484e+03
4.4603830    +0.0515479    4.2516506    -0.5499717    +0.0067434    7.6442449     8.1009488e+03
0.8803306    -0.1423478    5.3078166    -0.0808611    -0.0157744    9.0243507     8.1239545e+03
2.0054705    -0.0924700    4.0709206    -0.2166579    -0.0123704    7.4753026     8.1324271e+03
0.7103194    -0.4497256    2.8274759    +0.0280422    -0.0573914    7.8404230     8.1544274e+03
13.1053628   +0.4000839    0.8738022    +0.5361192    +0.0203342    19.6767317    8.2122101e+03
5.4745314    -2.4801455    3.2609948    -0.2096738    -0.6696002    3.9959000     8.2148625e+03
3.3141050    -0.0607000    2.5032299    +0.3261582    -0.0098480    6.1637691     8.2713964e+03
7.0402158    +0.0585426    0.6681851    +0.3014986    +0.0039855    14.6888886    8.2796270e+03
5.2929415    -1.3246393    3.6190952    -0.5695027    -0.2856126    4.7015498     8.3100554e+03
2.7438050    +0.7425962    4.7844135    -0.3048464    +0.0812649    9.1480365     8.5827985e+03
1.8257401    +0.3307238    0.5897342    +0.1010158    +0.0328350    10.0741096    8.6876255e+03
9.1817946    +0.2076515    5.3177442    -0.5029256    +0.0132553    15.6659640    8.7953950e+03
1.2516741    -0.4944062    2.9789154    +0.0278973    -0.0679234    7.2844767     8.8557682e+03
4.8910724    -0.2950308    0.6004183    +0.2169732    -0.0229795    12.8399838    8.9322860e+03
7.6801253    -0.8107780    4.3204010    -0.9057595    -0.0896481    9.0561309     8.9790204e+03
2.9498850    -0.3250219    4.6799610    -0.3373964    -0.0364764    8.9124378     8.9862688e+03
7.1920609    -0.0463715    1.0314418    +0.4685052    -0.0033931    13.6664203    8.9878509e+03
4.0772496    +0.3846320    2.4759403    +0.4440237    +0.0655252    5.8741864     9.0261781e+03
4.2009604    +0.6899820    3.1032725    +0.0373924    +0.1589181    4.3600740     9.0309351e+03
8.8019697    +0.3167283    0.5657701    +0.2879582    +0.0190611    16.6175205    9.0854489e+03
14.0845761   -0.0658065    3.3308542    -2.6804615    -0.0110500    5.9554477     9.1159395e+03
8.0479303    -0.1055226    4.8502506    -0.6926816    -0.0084532    12.4832745    9.1225741e+03
2.6949797    -1.5681822    3.2205988    -0.0365712    -0.2633123    6.0249787     9.2299415e+03
0.7992660    -0.1225482    2.7239562    +0.0417013    -0.0157581    7.7771568     9.2792113e+03
6.8447169    +0.1603785    0.2229383    +0.0993951    +0.0105158    15.2514386    9.2977511e+03
5.2750345    -0.5738266    3.1710384    -0.0480858    -0.1757683    3.2815474     9.3394991e+03
8.9546443    -4.1534485    2.6128636    +1.4023579    -0.7363903    6.1842436     9.4819467e+03
10.5769967   +0.0114632    1.4179657    +0.8021011    +0.0007882    14.5429176    9.5387177e+03
4.2717224    -0.0867699    6.0983193    -0.0617538    -0.0068197    12.7234843    9.6539983e+03
12.7251160   -0.2004621    5.7886787    -0.2974580    -0.0097282    20.6065622    9.7922666e+03
3.6374234    +0.2048810    5.8195231    -0.1375334    +0.0172653    11.8671983    9.8271232e+03
5.3481030    -0.7387389    2.9136219    +0.3520464    -0.2077125    3.5822483     9.8462052e+03
3.7674222    -0.3414355    4.9597869    -0.3698197    -0.0337732    10.1115675    9.8826491e+03
7.2977655    -1.2525562    5.3656195    -0.4212115    -0.0881401    14.2293917    9.8934348e+03
5.9850411    +0.3706790    1.6992835    +0.6546514    +0.0380058    9.7555649     1.0089012e+04
3.0157548    +0.3949918    6.0721138    -0.0551309    +0.0344346    11.4730484    1.0204458e+04
7.1508812    -0.1414220    6.1103770    -0.0789376    -0.0090694    15.5935713    1.0231696e+04
0.1186046    -0.0377917    4.2669273    -0.0126673    -0.0044726    8.4496587     1.0247516e+04
18.5805672   -0.4439134    4.3210132    -1.4887568    -0.0257530    17.2392790    1.0269279e+04
3.2219176    -0.0884276    2.6656466    +0.2561643    -0.0151762    5.8269562     1.0365447e+04
10.4122252   -0.0429184    5.4514978    -0.4604642    -0.0024783    17.3177358    1.0366036e+04
4.7109390    -0.0218301    4.3873318    -0.5680058    -0.0026306    8.2986103     1.0380084e+04
0.4206513    +0.2378094    2.6711170    +0.0234645    +0.0292523    8.1307670     1.0382901e+04
1.7142641    +0.6791282    0.5297396    +0.0865859    +0.0676951    10.0398256    1.0524570e+04
5.3907945    -0.1893506    0.0904399    +0.0350917    -0.0136438    13.8785982    1.0728438e+04
9.0039854    +0.8928952    1.0374086    +0.5351389    +0.0586618    15.2298009    1.0740276e+04
6.8371177    -0.0265366    5.9605570    -0.1436727    -0.0017527    15.1403760    1.0790757e+04
8.2685927    +0.2384324    3.6036187    -1.2811799    +0.0619156    3.8533857     1.0840189e+04
0.9565766    +0.0159201    4.5676640    -0.1127193    +0.0018918    8.4154625     1.0916272e+04
0.5551164    +0.1639037    0.6375223    +0.0369166    +0.0183068    8.9536763     1.1052827e+04
0.9070536    -0.3063900    1.8865295    +0.1045313    -0.0370607    8.2691312     1.1205365e+04
1.2148262    +0.7541200    1.2370237    +0.1282852    +0.0838582    9.0033501     1.1215302e+04
1.2309202    +1.4365229    5.3682191    -0.1050699    +0.1532223    9.4122039     1.1349390e+04
2.0254379    +0.0433136    6.1117161    -0.0329158    +0.0041245    10.5015129    1.1494420e+04
7.0932635    +0.7104175    5.8949860    -0.1763677    +0.0463905    15.3193359    1.1515231e+04
1.9497969    +4.5748879    1.5495131    +0.2243789    +0.4812346    9.8836593     1.1526982e+04
0.9165838    -0.0157738    2.8228745    +0.0376267    -0.0020660    7.6349976     1.1770248e+04
5.8099002    +0.1306250    2.0855126    +0.7309758    +0.0172422    7.5762497     1.1813507e+04
2.0340471    +2.4634392    2.8251928    +0.0960784    +0.3573659    7.0422660     1.1818717e+04
0.6592440    +0.3714030    1.4431721    +0.0760285    +0.0431156    8.6167840     1.1853627e+04
4.5390253    -0.1358658    3.6337101    -0.4447799    -0.0272505    4.9864243     1.1918873e+04
3.4085768    +0.3449129    1.9292081    +0.4119900    +0.0432423    7.9787657     1.1946303e+04
2.4270073    +0.3072726    4.9160839    -0.2584457    +0.0330287    9.3048942     1.2021779e+04
4.6631032    +0.1855284    1.0241108    +0.3496638    +0.0159543    11.6292556    1.2170923e+04
4.4236273    -0.1882652    4.3375603    -0.5391602    -0.0234764    8.0200753     1.2190047e+04
1.9018828    -0.9444431    3.3443441    -0.0576382    -0.1411175    6.7148644     1.2225631e+04
2.5342104    +0.6196286    2.7863072    +0.1429658    +0.0998143    6.2181307     1.2348000e+04
1.4422402    -0.8026063    1.0576764    +0.1356204    -0.0861500    9.3279207     1.2464951e+04
3.6128444    -1.4949293    0.5282535    +0.1554405    -0.1264184    11.8568038    1.2476400e+04
6.5848329    +0.0935805    4.0156593    -0.8684035    +0.0141430    6.6169514     1.2484487e+04
4.9415378    -0.2069106    0.4685197    +0.1711667    -0.0157928    13.1021013    1.2526112e+04
4.5936951    +0.0795766    2.5901370    +0.4831824    +0.0153602    5.1809086     1.2547689e+04
6.5865633    +0.3339778    6.1875951    -0.0417287    +0.0221587    15.0733126    1.2599887e+04
11.5883108   -0.0718788    5.9790517    -0.1756226    -0.0036189    19.8621342    1.2618387e+04
2.1439866    -0.5683885    4.3133426    -0.2521829    -0.0716668    7.9377788     1.2657797e+04
1.1709281    +1.2419422    5.7218566    -0.0655767    +0.1298356    9.5924293     1.2680972e+04
12.6430480   -1.4866409    0.6443373    +0.3874844    -0.0738347    20.1530226    1.2738141e+04
0.2866565    +0.2070280    3.1878543    -0.0016140    +0.0252000    8.2162696     1.2785731e+04
1.3139446    -0.3303817    0.8937014    +0.1094036    -0.0352100    9.3851197     1.2889073e+04
0.1555345    +0.0307593    3.9936683    -0.0139391    +0.0036625    8.3984648     1.3155012e+04
1.6545468    +0.4226800    4.4816578    -0.1957820    +0.0510053    8.2905832     1.3220148e+04
1.8829316    +0.6514216    3.8941851    -0.1786959    +0.0897225    7.2701571     1.3244224e+04
15.7222701   +0.8845960    6.1133297    -0.1103061    +0.0366239    24.1589429    1.3312505e+04
6.2985981    -0.8503265    3.4800149    -0.6851862    -0.2518614    3.4121290     1.3332844e+04
2.1690583    +1.0032673    0.0337031    +0.0068514    +0.0937681    10.7151486    1.3463806e+04
2.6192106    +0.5349046    1.7844901    +0.3116863    +0.0639982    8.3638261     1.3476135e+04
5.3385400    +0.2082629    6.1288408    -0.0595088    +0.0150909    13.8010764    1.3514434e+04
1.8979382    +0.8316754    2.9353552    +0.0584459    +0.1243506    6.7054195     1.3586256e+04
2.5127320    -0.1962599    4.0279689    -0.2745697    -0.0273261    7.1830348     1.3759015e+04
1.5606652    -0.2062438    3.9687561    -0.1531113    -0.0273770    7.5344151     1.3782120e+04
1.1409764    -0.1072601    0.4291821    +0.0497405    -0.0112318    9.5499101     1.3787434e+04
1.7623021    -0.9143453    4.7384073    -0.2032996    -0.1044085    8.7733195     1.3787841e+04
1.6042302    +0.0802303    2.9906301    +0.0348802    +0.0115964    6.9186883     1.3856430e+04
1.8471799    +0.4355379    4.9610445    -0.1973365    +0.0476584    9.1422014     1.3907419e+04
6.4365428    +0.2143539    1.6800575    +0.6871006    +0.0212473    10.0892670    1.4009360e+04
3.2120259    -0.1496994    2.3480951    +0.3512920    -0.0224953    6.6552490     1.4023221e+04
7.8797135    +0.0793023    4.3930693    -0.8926996    +0.0082547    9.6070228     1.4156126e+04
7.2178320    +1.8979083    2.9664517    +0.7345410    +0.7910832    2.6689181     1.4265452e+04
3.0601267    +0.3519205    1.7739234    +0.3633462    +0.0417059    8.4405942     1.4269814e+04
3.5153478    +1.3013373    4.3747108    -0.4246556    +0.1602623    8.1549077     1.4467074e+04
14.3678561   -0.3079612    2.0552261    +1.4294814    -0.0239748    12.8464122    1.4467628e+04
1.3977976    +0.9472678    1.9155554    +0.1624344    +0.1159261    8.1896351     1.4478177e+04
3.8575149    +0.4801946    1.1459814    +0.3351890    +0.0449129    10.6952804    1.4536323e+04
2.1621997    -0.3175827    1.9168710    +0.2561400    -0.0395363    8.0347725     1.4542942e+04
7.7859622    +0.0300668    3.5563646    -1.1579781    +0.0087775    3.4254791     1.4562469e+04
1.9521972    +0.3220634    5.7701731    -0.0936529    +0.0314234    10.2508510    1.4613538e+04
11.5659630   -0.4628758    2.5272126    +1.7124650    -0.0686221    6.7505806     1.4713617e+04
5.7351511    +1.0041220    0.4623033    +0.1854705    +0.0722639    13.9073086    1.4757372e+04
3.3777359    -1.4107047    0.7186778    +0.1987361    -0.1245908    11.3520496    1.4908551e+04
3.4146337    +0.3380695    2.6365806    +0.2912196    +0.0586875    5.7638137     1.5031587e+04
9.4868843    +0.1371269    5.8589225    -0.2239476    +0.0077978    17.5854595    1.5191680e+04
8.2018156    -0.4508618    1.4418751    +0.7052506    -0.0359163    12.5558311    1.5224118e+04
13.0813131   -1.3372707    5.6968784    -0.3571432    -0.0645036    20.7461137    1.5225050e+04
1.8474633    -0.0014479    3.2634240    -0.0336678    -0.0002171    6.6700107     1.5255881e+04
6.4084905    -0.1735046    5.5142175    -0.3277805    -0.0125337    13.8433881    1.5368919e+04
2.6616238    -0.7338375    2.7551865    +0.1647125    -0.1193883    6.1612731     1.5400077e+04
1.1347825    -0.0557942    5.8869201    -0.0458467    -0.0058380    9.5570520     1.5423552e+04
2.4062358    +0.2246231    3.0723686    +0.0272800    +0.0367960    6.1059306     1.5469527e+04
2.2229601    +0.1295681    1.3751678    +0.2394425    +0.0140911    9.1953325     1.5568546e+04
3.3248123    +0.2817010    1.7038031    +0.3881646    +0.0323428    8.7113773     1.5618303e+04
4.5413626    +0.0448435    0.1208297    +0.0420560    +0.0034443    13.0198410    1.5656073e+04
2.8391249    +0.4587459    2.1729027    +0.3272932    +0.0629456    7.2927836     1.5687040e+04
6.1518007    -1.8648485    0.1661574    +0.0697340    -0.1270194    14.7211615    1.5715037e+04
3.9366527    +2.2104369    1.9733457    +0.4799654    +0.2746752    8.1495478     1.5721131e+04
4.6993510    +0.1395714    2.7601450    +0.3999407    +0.0310544    4.4951414     1.5805191e+04
5.2412978    -0.3527161    3.7328328    -0.6135619    -0.0694045    5.0861200     1.5829674e+04
3.4993529    -0.0378577    3.0399054    +0.0706624    -0.0075243    5.0314219     1.5906983e+04
11.5392818   +0.3012282    6.2516860    -0.0181385    +0.0150326    20.0391178    1.5916900e+04
3.8442374    +0.3676776    1.0368950    +0.3065078    +0.0335118    10.9736371    1.5935251e+04
5.2232504    +0.5771624    2.9776446    +0.2494206    +0.1655859    3.5015562     1.6041397e+04
0.4710215    -0.2848531    1.5767519    +0.0553749    -0.0334593    8.5150053     1.6044039e+04
14.5343859   -0.0867440    2.5808894    +2.0286662    -0.0100667    8.6171102     1.6047658e+04
0.1982491    -0.1247135    5.3780156    -0.0180821    -0.0144605    8.6247407     1.6059868e+04
2.2337680    -0.4081988    0.3545759    +0.0730704    -0.0384065    10.6310009    1.6084224e+04
1.7191032    -0.6245258    0.4006049    +0.0663913    -0.0617236    10.1245366    1.6154787e+04
0.8726675    +0.0274829    3.4568359    -0.0352600    +0.0035808    7.6751565     1.6167527e+04
1.9408776    -0.9270066    4.0720132    -0.2089309    -0.1229202    7.5605548     1.6194505e+04
1.4598382    -0.4712671    4.7265287    -0.1696655    -0.0544608    8.6576047     1.6222627e+04
0.4285740    -0.0811846    5.0824918    -0.0461318    -0.0093698    8.6646181     1.6368959e+04
0.1980104    -0.2128336    0.2906675    +0.0065304    -0.0244872    8.6924957     1.6752722e+04
1.0167040    -1.3019704    2.7887376    +0.0465280    -0.1706758    7.6654885     1.6780923e+04
6.2225796    +0.2089549    0.6782093    +0.2845953    +0.0150264    13.9063934    1.6824108e+04
3.2236294    -0.3749808    1.8728860    +0.3874928    -0.0460069    8.1534054     1.7084611e+04
9.7308551    +0.2307728    4.7465134    -0.8334931    +0.0175647    13.1391292    1.7170181e+04
13.4581147   -0.5226505    2.3056319    +1.6231461    -0.0522237    10.0124750    1.7234828e+04
0.5978167    +0.5878004    3.3931855    -0.0187864    +0.0740590    7.9441782     1.7271643e+04
3.4569616    +0.4180997    1.7242888    +0.4048893    +0.0481715    8.6827572     1.7290078e+04
6.1981479    +0.1166777    1.1941734    +0.4910133    +0.0095449    12.2242918    1.7305842e+04
1.8926156    +0.6546943    1.6350588    +0.2217183    +0.0760803    8.6136188     1.7333044e+04
1.5752554    -0.3080982    4.9717822    -0.1693581    -0.0340938    9.0385340     1.7360088e+04
2.9612409    +0.9573903    5.7437623    -0.1369019    +0.0856925    11.1860835    1.7409892e+04
6.0186054    +0.0497205    3.4852169    -0.6211681    +0.0142698    3.4844252     1.7844473e+04
0.5636920    -0.4237886    3.2225102    -0.0057397    -0.0533348    7.9495872     1.7868956e+04
2.1068348    +0.7195908    4.8450543    -0.2335447    +0.0795765    9.0523038     1.7892003e+04
1.2312340    -0.0413711    5.6116911    -0.0807650    -0.0043572    9.4949651     1.7918495e+04
1.2355132    +0.6634638    0.2264244    +0.0285749    +0.0682363    9.7305852     1.7935057e+04
9.4531074    -0.4487367    5.3461584    -0.4953751    -0.0279962    16.0305528    1.7972798e+04
